발생날짜,조사해역,원인생물,생물밀도(max),생물밀도(min),수온(max),수온(min),속보코드
20180725,"경남 남해군 서면 장항, 남면 유구",Cochlodinium polykrikoides,650,100,27.9,25.8,20180725-006
20180725,"경남 남해군 서면 장항, 남면 유구",Cochlodinium polykrikoides,860,50,27.9,25.8,20180725-006
20180725,"경남 남해군 서면 장항, 남면 유구",Cochlodinium polykrikoides,70,40,27.9,25.8,20180725-006
20180724,전남 고흥군 영남면 남열리,Cochlodinium polykrikoides,300,150,29.3,29.3,20180724-008
20180724,전남 고흥군 영남면 남열리,Cochlodinium polykrikoides,200,10,29.3,29.3,20180724-008
20180724,전남 고흥군 영남면 남열리,Cochlodinium polykrikoides,416,25,29.3,29.3,20180724-008
20180724,전남 고흥군 영남면 남열리,Cochlodinium polykrikoides,80,50,29.3,29.3,20180724-008
20180724,"전남 여수시 하화도, 개도 남방, 월호수도, 함구미, 화태, 향일암",Cochlodinium polykrikoides,300,150,28.1,26.2,20180724-008
20180724,"전남 여수시 하화도, 개도 남방, 월호수도, 함구미, 화태, 향일암",Cochlodinium polykrikoides,200,10,28.1,26.2,20180724-008
20180724,"전남 여수시 하화도, 개도 남방, 월호수도, 함구미, 화태, 향일암",Cochlodinium polykrikoides,416,25,28.1,26.2,20180724-008
20180724,"전남 여수시 하화도, 개도 남방, 월호수도, 함구미, 화태, 향일암",Cochlodinium polykrikoides,80,50,28.1,26.2,20180724-008
20180724,"경남 남해군 서면 장항, 남면 사촌",Cochlodinium polykrikoides,300,150,26.8,24.8,20180724-008
20180724,"경남 남해군 서면 장항, 남면 사촌",Cochlodinium polykrikoides,200,10,26.8,24.8,20180724-008
20180724,"경남 남해군 서면 장항, 남면 사촌",Cochlodinium polykrikoides,416,25,26.8,24.8,20180724-008
20180724,"경남 남해군 서면 장항, 남면 사촌",Cochlodinium polykrikoides,80,50,26.8,24.8,20180724-008
20180724,고성군 삼산면 군령포,Cochlodinium polykrikoides,300,150,30,29,20180724-008
20180724,고성군 삼산면 군령포,Cochlodinium polykrikoides,200,10,30,29,20180724-008
20180724,고성군 삼산면 군령포,Cochlodinium polykrikoides,416,25,30,29,20180724-008
20180724,고성군 삼산면 군령포,Cochlodinium polykrikoides,80,50,30,29,20180724-008
20180723,"전남 여수시 화정면 하화도, 남면 함구미, 돌산 상동",Cochlodinium polykrikoides,350,1,27.6,26.6,20180724-001
20180723,"전남 여수시 화정면 하화도, 남면 함구미, 돌산 상동",Cochlodinium polykrikoides,761,20,27.6,26.6,20180724-001
20180723,"경남 남해군 서면 장항, 남면 항촌, 선구",Cochlodinium polykrikoides,350,1,26.8,23,20180724-001
20180723,"경남 남해군 서면 장항, 남면 항촌, 선구",Cochlodinium polykrikoides,761,20,26.8,23,20180724-001
20180718,제주 차귀도 서방 76마일 해역,Noctiluca sp.,0,0,22.4,22.4,20180719-001
20180711,오동도,없음,,,23.7,23.7,20180711-001
20180711,오동도,없음,,,23.7,23.7,20180711-001
20180711,오동도,없음,,,23.7,23.7,20180711-001
20180711,오동도,없음,,,23.7,23.7,20180711-001
20180711,오동도,없음,,,23.7,23.7,20180711-001
20180711,오동도,Leptocylindrus danicus,1200,640,23.7,23.7,20180711-001
20180711,오동도,Chaetoceros curvisetus,1250,520,23.7,23.7,20180711-001
20180711,오동도,Leptocylindrus danicus,1650,840,23.7,23.7,20180711-001
20180711,오동도,Chaetoceros curvisetus,650,240,23.7,23.7,20180711-001
20180711,오동도,Leptocylindrus danicus,1500,750,23.7,23.7,20180711-001
20180711,오동도,Chaetoceros curvisetus,480,320,23.7,23.7,20180711-001
20180711,돌산 상동,없음,,,24.1,24.1,20180711-001
